,Informal Text,Expanded Meaning,Polarity
1667,"bruh, had a short in the power line, fml",brother experienced a short circuit in the power line fuck my life,negative
1668,"yo, the amplifierâ€™s output swing is too low",yo the output swing of the amplifier is insufficient,negative
1669,"smh, this voltage regulatorâ€™s dropout voltage is high",shaking my head the dropout voltage of this voltage regulator is too high,negative
1670,"wtf, the signalâ€™s noise margin is awful",what the fuck the noise margin of the signal is terrible,negative
1671,"lmao, had to debug a grounding issue, lol",laughing my ass off had to troubleshoot a grounding issue laughing out loud,negative
1672,"omg, dis capacitorâ€™s ESR is killing the circuit",oh my god the equivalent series resistance of this capacitor is affecting the circuit badly,negative
1673,"bruh, whyâ€™s this diodeâ€™s reverse recovery so slow?",brother why is the reverse recovery time of this diode so slow,negative
1674,"yo, the thermal paste isnâ€™t doing its job",yo the thermal paste isn t effective,negative
1675,"smh, got a weird reading on the spectrum analyzer",shaking my head received an unusual reading on the spectrum analyzer,negative
1676,"wtf, this MOSFETâ€™s gate drive is too weak",what the fuck the gate drive of this mosfet is inadequate,negative
1677,"lmao, dis signalâ€™s distortion is insane",laughing my ass off the distortion in this signal is extreme,negative
1678,"omg, dis inductorâ€™s self-resonance is too low",oh my god the selfresonance frequency of this inductor is too low,negative
1679,"bruh, need to sort out the layout issues",brother need to address the layout problems,neutral
1680,"yo, dis amplifierâ€™s noise figure is terrible",yo the noise figure of this amplifier is poor,negative
1681,"smh, the PCBâ€™s copper pour isnâ€™t working",shaking my head the copper pour on the pcb is ineffective,negative
1682,"wtf, the signalâ€™s rise time is way off",what the fuck the rise time of the signal is incorrect,negative
1683,"lmao, had to replace the transformer, again",laughing my ass off had to replace the transformer once more,negative
1684,"omg, dis op-ampâ€™s bandwidth is too narrow",oh my god the bandwidth of this operational amplifier is too limited,negative
1685,"bruh, the load on this circuitâ€™s too high",brother the load on this circuit is excessive,negative
1686,"yo, whyâ€™s the leakage current so high in dis MOSFET?",yo why is the leakage current in this mosfet so high,negative
1687,"smh, the voltage drop across the resistor is wrong",shaking my head the voltage drop across this resistor is incorrect,negative
1688,"wtf, dis capacitorâ€™s value drifted, unfixable",what the fuck the value of this capacitor has drifted can t fix it,negative
1689,"yo, dis circuitâ€™s fried, need a new op-amp",hey this circuit is malfunctioning need a new operational amplifier,negative
1690,"smh, resistorâ€™s tolerance is way off, wtf",shaking my head the resistor s tolerance is incorrect what the fuck,negative
1691,"bruh, dis PCBâ€™s layout is a mess, canâ€™t route",brother the pcb layout is disorganized can t route the connections,negative
1692,"omg, dat capacitorâ€™s ESR is too high",oh my god the equivalent series resistance of that capacitor is too high,negative
1693,"lmao, got hit with a huge spike in my Vout",laughing my ass off experienced a significant voltage spike at the output,negative
1694,"wtf, y is dis op-amp oscillatin?",what the fuck why is this operational amplifier oscillating,negative
1695,"yo, dat transformerâ€™s efficiency is trash",yo the transformer s efficiency is poor,negative
1696,"smh, power supplyâ€™s ripple is insane",shaking my head the ripple in the power supply is excessive,negative
1697,"omg, dis microcontrollerâ€™s clock freq is too low",oh my god the clock frequency of this microcontroller is too low,negative
1698,"bruh, got a weird reading from the oscilloscope",brother got an unusual reading from the oscilloscope,positive
1699,"lol, dis diodeâ€™s forward voltage drop is high",laughing out loud the forward voltage drop of this diode is too high,negative
1700,"wtf, y isnâ€™t the MOSFET switching properly?",what the fuck why isn t the mosfet switching correctly,negative
1701,"smh, circuitâ€™s noise floor is way too high",shaking my head the noise floor of the circuit is too high,negative
1702,"omg, dis FPGAâ€™s logic density is crazy",oh my god the logic density of this fpga is impressive,positive
1703,"bruh, need to fix dis high impedance issue",brother need to address this high impedance problem,neutral
1704,"yo, whyâ€™s the gain on dis amplifier so unstable?",yo why is the gain on this amplifier so inconsistent,negative
1705,"lmao, got a huge offset in dis sensor readout",laughing my ass off there s a significant offset in the sensor readout,negative
1706,"wtf, this PCBâ€™s trace width calculation is off",what the fuck the trace width calculation on this pcb is incorrect,negative
1707,"smh, the feedback loopâ€™s causing instability",shaking my head the feedback loop is causing instability in the circuit,negative
1708,"omg, dis signalâ€™s phase shift is way off",oh my god the phase shift of this signal is incorrect,negative
1709,"bruh, dat relayâ€™s contact bounce is killing me",brother the relay s contact bounce is problematic,negative
1710,"yo, whyâ€™s the current sense resistor so hot?",yo why is the current sense resistor overheating,negative
1711,"lmao, had to debug a short circuit, smh",laughing my ass off had to troubleshoot a short circuit shaking my head,negative
1712,"wtf, dis analog filterâ€™s cutoff freq is wrong",what the fuck the cutoff frequency of this analog filter is incorrect,negative
1713,"smh, power dissipation in dis componentâ€™s too high",shaking my head the power dissipation in this component is too high,negative
1714,"omg, dat zener diodeâ€™s breakdown voltage is off",oh my god the breakdown voltage of this zener diode is incorrect,negative
1715,"bruh, need 2 recalibrate the signal generator",brother need to recalibrate the signal generator,neutral
1716,"yo, yâ€™s dis inductorâ€™s saturation current so low?",yo why is the saturation current of this inductor so low,negative
1717,"lmao, forgot to add a decoupling capacitor, lol",laughing my ass off forgot to include a decoupling capacitor laughing out loud,negative
1718,"smh, dis power amplifierâ€™s THD is too high",shaking my head the total harmonic distortion of this power amplifier is excessive,negative
1719,"wtf, the thermal runaway in dis transistorâ€™s crazy",what the fuck the thermal runaway in this transistor is extreme,negative
1720,"omg, dis signalâ€™s amplitude is fluctuating mad",oh my god the amplitude of this signal is fluctuating wildly,negative
1721,"bruh, the relayâ€™s coil currentâ€™s way off",brother the current through the relay s coil is incorrect,negative
1722,"yo, yâ€™s the op-ampâ€™s input offset so large?",yo why is the input offset of the operational amplifier so significant,negative
1723,"bruh, dis stock split is gonna b lit!",brother this stock split is going to be great,positive
1724,"omg, got hit with an overdraft fee, datâ€™s bs",oh my god got hit with an overdraft fee that s bullshit,negative
1725,"yo, did u peep dat margin call? risky biz",yo did you see that margin call risky business,negative
1726,"smh, bankâ€™s givin me runaround on dis loan",shaking my head the bank is giving me the runaround on this loan,negative
1727,"lmao, dis forex tradeâ€™s a wild ride",laughing my ass off this foreign exchange trade is a wild ride,positive
1728,"wtf, credit card points donâ€™t add up, scam?",what the fuck the credit card points don t add up is it a scam,negative
1729,u seen da new fintech startup? got mad potential,have you seen the new financial technology startup it has a lot of potential,positive
1730,"lol, dis savings accountâ€™s interest rateâ€™s a joke",laughing out loud this savings account s interest rate is ridiculous,negative
1731,"omg, dis IPOâ€™s hype is insane, gotta get in early",oh my god the hype around this ipo is incredible need to invest early,positive
1732,"smh, bankâ€™s fees keep eating up my savings",shaking my head the bank s fees keep depleting my savings,negative
1733,"yo, dis real estate flipâ€™s gonna make bank",yo this real estate flip is going to be very profitable,positive
1734,"lmao, got a notice for late payment, wtf",laughing my ass off received a notice for a late payment what the fuck,negative
1735,"omg, dis ETFâ€™s performance is fire",oh my god the performance of this exchange traded fund is excellent,positive
1736,"bruh, da investment appâ€™s UI is trash",brother the user interface of this investment app is terrible,negative
1737,"smh, my 401(k) lost so much value, need 2 re-strategize",shaking my head my has decreased significantly in value need to restrategize,negative
1738,"yo, dat hedge fundâ€™s returns are mad",yo the returns on that hedge fund are incredible,positive
1739,"wtf, whyâ€™s my account frozen? need answers",what the fuck why is my account frozen need answers,negative
1740,"lmao, bankâ€™s customer service is useless",laughing my ass off the bank s customer service is ineffective,negative
1741,"omg, saw a massive drop in dis stock, panic mode",oh my god saw a huge drop in this stock going into panic mode,negative
1742,"smh, got hit with a huge prepayment penalty",shaking my head received a significant penalty for prepayment,negative
1743,"bruh, dis new credit card offerâ€™s tempting, but risky",brother this new credit card offer is appealing but risky,neutral
1744,"lol, whyâ€™s dis investment app so glitchy?",laughing out loud why is this investment app so buggy,negative
1745,"omg, dis high-yield bondâ€™s makin bank",oh my god this highyield bond is generating a lot of profit,positive
1746,"yo, dat investment strategyâ€™s lit, definitely try it",yo that investment strategy is excellent definitely try it,positive
1747,"smh, my credit scoreâ€™s tanked, wtf did I do?",shaking my head my credit score has dropped significantly what did i do,negative
1748,"bruh, da robo-advisorâ€™s recommendations are trash",brother the recommendations from the roboadvisor are poor,negative
1749,"lmao, bank fees r eatin up my paycheck",laughing my ass off bank fees are depleting my paycheck,negative
1750,"omg, dis new trading algorithmâ€™s insane",oh my god this new trading algorithm is amazing,positive
1751,"yo, dis appâ€™s fee structureâ€™s a ripoff",yo the fee structure of this app is a ripoff,negative
1752,"smh, banks r pushin high rates on loans, y?",shaking my head banks are offering high rates on loans why,negative
1753,"wtf, y is dis savings bondâ€™s interest so low?",what the fuck why is the interest rate on this savings bond so low,negative
1754,"lmao, bankâ€™s online platform is a mess",laughing my ass off the bank s online platform is chaotic,negative
1755,"omg, dis cryptoâ€™s volatility is wild",oh my god the volatility of this cryptocurrency is extreme,negative
1756,"bruh, da auto-invest featureâ€™s not workin",brother the autoinvest feature is not functioning properly,negative
1757,"yo, dis new appâ€™s gotta better cashback offers",yo this new app has better cashback offers,positive
1758,"smh, got charged for dis account maintenance fee",shaking my head was charged for an account maintenance fee,negative
1759,"omg, stock marketâ€™s so unpredictable rn",oh my god the stock market is so unpredictable right now,negative
1760,"bruh, got caught in dis market manipulation",brother got caught up in this market manipulation,positive
1761,"lol, why r banks makin it so hard 2 get a loan?",laughing out loud why are banks making it so difficult to obtain a loan,negative
1762,"wtf, dis credit cardâ€™s APR is sky-high",what the fuck the annual percentage rate on this credit card is extremely high,negative
1763,"smh, gotta deal with another bank error",shaking my head have to deal with another banking error,negative
1764,"yo, dis place is insane! spiti got dat untouched beauty",yo this place is insane spiti has that untouched beauty,negative
1765,"bruh, ladakhâ€™s views r outta dis world! feelin like heaven",brother ladakh s views are out of this world feels like heaven,positive
1766,"omg, dis valley is so fkn gorgeous, i canâ€™t even explain",oh my god this valley is so fucking gorgeous i can t even explain,positive
1767,"dat sky in ladakh tho, crystal clear n filled wit stars!",that sky in ladakh though crystal clear and filled with stars,positive
1768,"lmfao, pics donâ€™t do justice, u gotta see spiti in real life",laughing my fucking ass off pictures don t do justice you ve got to see spiti in real life,negative
1769,"yo, dis road trip 2 ladakh is da best decision we ever made",yo this road trip to ladakh is the best decision we ever made,positive
1770,"bruh, da mountains r huge af, makin me feel so small here",brother the mountains are huge as fuck making me feel so small here,negative
1771,"wtf, dis view at pangong lake? iâ€™m in paradise rn",what the fuck this view at pangong lake i m in paradise right now,negative
1772,"yo, da peace in spiti valley hits diff, my soulâ€™s at rest",yo the peace in spiti valley hits different my soul s at rest,positive
1773,"omg, ladakhâ€™s colors r fkn unreal, da whole place is magic",oh my god ladakh s colors are fucking unreal the whole place is magic,negative
1774,"dat sunrise in spiti got me shook, natureâ€™s art at its best",that sunrise in spiti got me shook nature s art at its best,positive
1775,"yo, ridin bikes thru ladakh is da dream, dis place is lit!",yo riding bikes through ladakh is the dream this place is lit,positive
1776,"bruh, dis desert in spiti is dry af but still mad beautiful",brother this desert in spiti is dry as fuck but still mad beautiful,positive
1777,"wtf, ladakhâ€™s monasteries r straight-up mindblowin, feelin blessed",what the fuck ladakh s monasteries are straightup mindblowing feeling blessed,positive
1778,"yo, dis blue lake in spiti is like heaven on earth, no lie",yo this blue lake in spiti is like heaven on earth no lie,positive
1779,"omg, da reflections on pangong lake? pure perfection",oh my god the reflections on pangong lake pure perfection,positive
1780,"bruh, dis view from the top of the pass? unreal af!",brother this view from the top of the pass unreal as fuck,negative
1781,"lmfao, canâ€™t believe we made it, spitiâ€™s like a fkn painting",laughing my fucking ass off can t believe we made it spiti s like a fucking painting,negative
1782,"yo, trekking in ladakh? best shit ever, every stepâ€™s worth it",yo trekking in ladakh best shit ever every step s worth it,positive
1783,"wtf, spitiâ€™s monasteries r so ancient n still look amazin",what the fuck spiti s monasteries are so ancient and still look amazing,positive
1784,"omg, dis sunset over da himalayas is legit breathtaking",oh my god this sunset over the himalayas is legit breathtaking,positive
1785,"bruh, ladakhâ€™s barren land looks like somethin outta a movie",brother ladakh s barren land looks like something out of a movie,negative
1786,"yo, da colors of spitiâ€™s landscape r fkn wild, never seen b4",yo the colors of spiti s landscape are fucking wild never seen before,negative
1787,"lmfao, we got so lucky wit da weather, da skyâ€™s so clear in ladakh",laughing my fucking ass off we got so lucky with the weather the sky s so clear in ladakh,negative
1788,"bruh, spitiâ€™s valleys r da real deal, nature got no chill here",brother spiti s valleys are the real deal nature has no chill here,positive
1789,"omg, dis hikeâ€™s brutal af but da view from the top? worth it",oh my god this hike s brutal as fuck but the view from the top worth it,positive
1790,"yo, ladakhâ€™s like somethin from another planet, unreal af",yo ladakh s like something from another planet unreal as fuck,negative
1791,"wtf, dis high-altitude desert in spiti got me speechless",what the fuck this highaltitude desert in spiti has me speechless,negative
1792,"bruh, da snow-capped peaks in ladakh? pure fkn magic, bro",brother the snowcapped peaks in ladakh pure fucking magic bro,positive
1793,"lmfao, dis is da cleanest air iâ€™ve ever breathed, feelin alive!",laughing my fucking ass off this is the cleanest air i ve ever breathed feeling alive,positive
1794,"yo, da stars in spiti r da brightest shit iâ€™ve ever seen",yo the stars in spiti are the brightest shit i ve ever seen,positive
1795,"bruh, ladakhâ€™s valleys r crazy beautiful, i donâ€™t wanna leave",brother ladakh s valleys are crazy beautiful i don t want to leave,positive
1796,"omg, da colors of da mountains in spiti? so fkn unique!",oh my god the colors of the mountains in spiti so fucking unique,positive
1797,"yo, dis tripâ€™s been da best ever, ladakh stole my heart",yo this trip s been the best ever ladakh stole my heart,positive
1798,"bruh, ridin thru spiti on bikes, feelin like a badass!",brother riding through spiti on bikes feeling like a badass,positive
1799,"wtf, dis is da most peaceful place iâ€™ve ever been, ladakhâ€™s zen af",what the fuck this is the most peaceful place i ve ever been ladakh s zen as fuck,negative
1800,"yo, da reflection of da sky on da lakes in spiti is unreal",yo the reflection of the sky on the lakes in spiti is unreal,negative
1801,"lmfao, spitiâ€™s rock formations r wild af, natureâ€™s trippin here",laughing my fucking ass off spiti s rock formations are wild as fuck nature s tripping here,negative
1802,"bruh, da scale of ladakhâ€™s landscape makes me feel tiny af",brother the scale of ladakh s landscape makes me feel tiny as fuck,negative
1803,"omg, dis ride thru ladakhâ€™s passes is heart-stoppin n beautiful",oh my god this ride through ladakh s passes is heartstopping and beautiful,positive
1804,"wtf, dis is da coldest iâ€™ve ever been but da view? worth it",what the fuck this is the coldest i ve ever been but the view worth it,positive
1805,"yo, spitiâ€™s got da most unique landscape, feels like mars",yo spiti s got the most unique landscape feels like mars,positive
1806,"bruh, dis placeâ€™s serenity is off da charts, perfect escape",brother this place s serenity is off the charts perfect escape,positive
1807,"lmfao, da sound of silence here in ladakh is fkn powerful",laughing my fucking ass off the sound of silence here in ladakh is fucking powerful,negative
1808,"omg, dis skyâ€™s so clear, itâ€™s like lookin at da universe itself",oh my god this sky s so clear it s like looking at the universe itself,positive
1809,"wtf, da vastness of dis place blows my mind, spitiâ€™s incredible",what the fuck the vastness of this place blows my mind spiti s incredible,positive
1810,"yo, ladakhâ€™s da perfect mix of rugged n beautiful, gotta come back",yo ladakh s the perfect mix of rugged and beautiful gotta come back,positive
1811,"bruh, dis roadâ€™s tough af but da views? beyond fkn words",brother this road s tough as fuck but the views beyond fucking words,neutral
1812,"wtf, how tf r we lost AGAIN? u r useless at directions",what the fuck how the fuck are we lost again you are useless at directions,negative
1813,"yo, dis place sucks so much, i wud rather b in jail",yo this place sucks so much i would rather be in jail,negative
1814,"lmfao, u call dis a 5-star hotel? more like 5-star trash",laughing my fucking ass off you call this a hotel more like trash,negative
1815,"bruh, we paid 4 dis tour n i wanna die, itâ€™s dat bad",brother we paid for this tour and i want to die it is that bad,negative
1816,"wtf u mean da car broke down? u dumbass, fix it!",what the fuck do you mean the car broke down you dumbass fix it,negative
1817,"yo, why da hell is dis city so fkn dead? no fun at all",yo why the hell is this city so fucking dead no fun at all,negative
1818,"lmfao, if i gotta listen 2 one more dumb fact, imma scream",laughing my fucking ass off if i have to listen to one more dumb fact i m going to scream,negative
1819,"bruh, how tf we end up stayin in da worst part of town?",brother how the fuck did we end up staying in the worst part of town,negative
1820,"wtf, da poolâ€™s closed? u kiddin me? i needed a swim",what the fuck the pool s closed you kidding me i needed a swim,negative
1821,"yo, dis taxi driver gon kill us, i swear heâ€™s drunk",yo this taxi driver is going to kill us i swear he s drunk,negative
1822,"lmfao, u said dis place was famous? looks fkn abandoned",laughing my fucking ass off you said this place was famous looks fucking abandoned,negative
1823,"bruh, how many times r we gon get rained on, dis sucks",brother how many times are we going to get rained on this sucks,negative
1824,"wtf is dat smell? dis townâ€™s a damn dump, ugh",what the fuck is that smell this town s a damn dump ugh,negative
1825,"yo, next time we r NOT takin ur advice on where 2 stay",yo next time we are not taking your advice on where to stay,negative
1826,"lmfao, we gon die in dis jungle, no fkn signal or nothin",laughing my fucking ass off we re going to die in this jungle no fucking signal or nothing,negative
1827,"bruh, i swear dis is da last time i let u book da flights",brother i swear this is the last time i let you book the flights,negative
1828,wtf u mean we missed da train? u had 1 fkn job!,what the fuck do you mean we missed the train you had one fucking job,negative
1829,"yo, dis boat tour gon make me seasick, who tf booked dis?",yo this boat tour is going to make me seasick who the fuck booked this,negative
1830,"lmfao, we paid extra 4 da â€˜viewâ€™ n all we see is trees",laughing my fucking ass off we paid extra for the view and all we see is trees,negative
1831,"bruh, dis trip was trash, i need a refund ASAP",brother this trip was trash i need a refund asap,negative
1832,"wtf, u said thereâ€™s Wi-Fi here, da hell is dis bullshit?",what the fuck you said there s wifi here what the hell is this bullshit,negative
1833,"yo, dis tour guide canâ€™t even speak properly, we doomed",yo this tour guide can t even speak properly we re doomed,negative
1834,"lmfao, dis â€˜adventureâ€™ is jus a long walk, da fuck?",laughing my fucking ass off this adventure is just a long walk what the fuck,negative
1835,"bruh, u picked da lamest spot 2 camp, iâ€™m so done",brother you picked the lamest spot to camp i m so done,negative
1836,"wtf, dis plane seat is tiny af, i canâ€™t breathe in here",what the fuck this plane seat is tiny as fuck i can t breathe in here,negative
1837,"yo, how tf is dis place a â€˜top attractionâ€™? itâ€™s fkn boring",yo how the fuck is this place a top attraction it s fucking boring,negative
1838,"lmfao, da guide just made up a bunch of shit, dis is a joke",laughing my fucking ass off the guide just made up a bunch of shit this is a joke,negative
1839,"bruh, if we stay at 1 more garbage hotel, iâ€™m snapping",brother if we stay at one more garbage hotel i m snapping,negative
1840,"wtf, i swear dis is da worst service i ever seen in my life",what the fuck i swear this is the worst service i ve ever seen in my life,negative
1841,"yo, i ainâ€™t pay 4 dis trip 2 b bored 2 death, dis sucks",yo i didn t pay for this trip to be bored to death this sucks,negative
1842,"lmfao, u said we were gonna â€˜explore,â€™ dis is jus drivin",laughing my fucking ass off you said we were going to explore this is just driving,negative
1843,"bruh, who tf picks dis shit 2 visit? itâ€™s dead af",brother who the fuck picks this shit to visit it s dead as fuck,negative
1844,"wtf, da tour bus broke down? iâ€™m so fkn done wit dis",what the fuck the tour bus broke down i m so fucking done with this,negative
1845,"yo, next time we stay home, dis is just pain",yo next time we stay home this is just pain,negative
1846,"lmfao, if i hear 1 more â€˜historical fact,â€™ imma lose it",laughing my fucking ass off if i hear one more historical fact i m going to lose it,negative
1847,"bruh, i came 4 adventure n got dis boring-ass place, fml",brother i came for adventure and got this boringass place fuck my life,negative
1848,wtf u mean we outta gas in da middle of nowhere?,what the fuck do you mean we re out of gas in the middle of nowhere,negative
1849,"yo, dis museum is trash, who tf cares bout old shit?",yo this museum is trash who the fuck cares about old shit,negative
1850,"lmfao, u said da food here was famous, itâ€™s garbage",laughing my fucking ass off you said the food here was famous it s garbage,negative
1851,"bruh, we r broke, n i blame u 4 wastin da cash on shit tours",brother we are broke and i blame you for wasting the cash on shitty tours,negative
1852,wtf is da point of travelin if itâ€™s dis fkn miserable?,what the fuck is the point of traveling if it s this fucking miserable,negative
1853,"yo, da only thing i learned dis trip is how much i hate travel",yo the only thing i learned this trip is how much i hate travel,negative
1854,"lmfao, if u say â€˜letâ€™s walk moreâ€™ imma punch u in da face",laughing my fucking ass off if you say let s walk more i m going to punch you in the face,negative
1855,"bruh, dis whole trip was a scam, iâ€™m done",brother this whole trip was a scam i m done,negative
1856,"wtf, if i hear 1 more bullshit fact, iâ€™m walkin back home",what the fuck if i hear one more bullshit fact i m walking back home,negative
1857,"yo, why da fuck did we even leave da house? dis sucks ass",yo why the fuck did we even leave the house this sucks ass,negative
1858,"lmfao, dis road trip idea was da worst, next time we fly",laughing my fucking ass off this road trip idea was the worst next time we fly,negative
1859,"bruh, da hotelâ€™s shower donâ€™t even work, dis is bullshit",brother the hotel s shower doesn t even work this is bullshit,negative
1860,"wtf, da entire townâ€™s closed? r we in da twilight zone?",what the fuck the entire town s closed are we in the twilight zone,negative
1861,"yo, dis whole trip was one big ass waste of time n cash",yo this whole trip was one bigass waste of time and cash,negative
1862,"lmfao, da pics online were a fkn lie, dis placeâ€™s ugly af",laughing my fucking ass off the pictures online were a fucking lie this place is ugly as fuck,negative
1863,"bruh, u got lost again? how tf r u still alive?",brother you got lost again how the fuck are you still alive,positive
1864,"yo, dis tripâ€™s a fkn disaster, why da hell u plan dis shit?",yo this trips a fucking disaster why the hell did you plan this shit,negative
1865,"lmfao, we ainâ€™t even halfway n i already hate dis place",laughing my fucking ass off we aren t even halfway and i already hate this place,negative
1866,"bruh, if we miss da flight, iâ€™m throwin u off da cliff",brother if we miss the flight i m throwing you off the cliff,negative
1867,wtf u mean u forgot da tickets? dumbass!,what the fuck do you mean you forgot the tickets dumbass,negative
1868,"yo, i told u we shud go left, now we fkn lost b/c of u",yo i told you we should go left now we re fucking lost because of you,negative
1869,"bruh, why da fuck r we even in dis shitty country?",brother why the fuck are we even in this shitty country,negative
1870,"lmfao, dis place look like a dump, who tf picked dis hotel?",laughing my fucking ass off this place looks like a dump who the fuck picked this hotel,negative
1871,"wtf, dis foodâ€™s trash n we paid how much?",what the fuck this food is trash and we paid how much,negative
1872,"yo, dis vacation gon be da death of me, fml",yo this vacation is going to be the death of me fuck my life,negative
1873,"bruh, how u always pick da worst spots?",brother how do you always pick the worst spots,negative
1874,wtf is dis weather? i aint paying 4 dis rain bullshit,what the fuck is this weather i didn t pay for this rain bullshit,negative
1875,"yo, dis tour guide talkin shit, we need 2 bounce",yo this tour guide is talking shit we need to bounce,negative
1876,"lmfao, u really thought dis place was worth visiting?",laughing my fucking ass off you really thought this place was worth visiting,negative
1877,"bruh, dis trip was a waste of time n money, u suck at planning",brother this trip was a waste of time and money you suck at planning,negative
1878,"wtf, i aint walking dat far, u can go tf by urself",what the fuck i m not walking that far you can go the fuck by yourself,negative
1879,"yo, dis airport security gon drive me insane",yo this airport security is going to drive me insane,negative
1880,"lmfao, dats da worst tourist spot, dats on u for booking",laughing my fucking ass off that s the worst tourist spot that s on you for booking,negative
1881,"bruh, dis Airbnb aint shit like da pics, we got scammed",brother this airbnb isn t shit like the pictures we got scammed,positive
1882,wtf is takin so long? we been waitin at dis airport 4 hours,what the fuck is taking so long we ve been waiting at this airport for four hours,positive
1883,"yo, da car rentalâ€™s a joke, dis ride gon fall apart",yo the car rentals a joke this ride is going to fall apart,negative
1884,"lmfao, we in da middle of nowhere, great job dumbass",laughing my fucking ass off we re in the middle of nowhere great job dumbass,positive
1885,"bruh, dis tour sucks, iâ€™d rather b home watchin TV",brother this tour sucks i d rather be home watching tv,negative
1886,"wtf, u booked da wrong flight? r u stupid?",what the fuck you booked the wrong flight are you stupid,negative
1887,"yo, dis place smells like shit, wtf were u thinkin?",yo this place smells like shit what the fuck were you thinking,negative
1888,"lmfao, da locals prob laughin at us, we look dumb af",laughing my fucking ass off the locals are probably laughing at us we look dumb as fuck,negative
1889,"bruh, we aint gon make it 2 da top, u gon die b4 we do",brother we aren t going to make it to the top you are going to die before we do,positive
1890,wtf is dis view? da pics online were straight up lies,what the fuck is this view the pictures online were straightup lies,negative
1891,"yo, if i catch 1 more flight delay, imma lose my shit",yo if i catch one more flight delay i m going to lose my shit,negative
1892,"lmfao, we outta money n da atmâ€™s busted, fuckin great",laughing my fucking ass off we re out of money and the atm s busted fucking great,negative
1893,"bruh, if we stay here 1 more day, imma snap",brother if we stay here one more day i m going to snap,negative
1894,"wtf, how much we spend on dis garbage tour?",what the fuck how much did we spend on this garbage tour,negative
1895,"yo, we fkn stuck in dis traffic n i blame u",yo we re fucking stuck in this traffic and i blame you,negative
1896,"lmfao, next time iâ€™m plannin da trip, u suck at dis",laughing my fucking ass off next time i m planning the trip you suck at this,negative
1897,"bruh, dis tour guide dumb af, we ainâ€™t learnin shit",brother this tour guide is dumb as fuck we aren t learning shit,negative
1898,"wtf, dis food gon make me sick, who tf recommended dis?",what the fuck this food is going to make me sick who the fuck recommended this,negative
1899,"yo, dis is da shittiest vacation i ever been on, tbh",yo this is the shittiest vacation i ve ever been on to be honest,negative
1900,"lmfao, why we even bother comin here? itâ€™s boring af",laughing my fucking ass off why did we even bother coming here it s boring as fuck,negative
1901,"bruh, dis hike gon kill me, why tf u say dis was easy?",brother this hike is going to kill me why the fuck did you say this was easy,positive
1902,wtf is up wit dis hotel? da service is straight trash,what the fuck is up with this hotel the service is straight trash,negative
1903,"yo, iâ€™m done wit dis place, next vacay iâ€™m stayin home",yo i m done with this place next vacation i m staying home,positive
1904,"lmfao, u said dis beach was nice? itâ€™s dirty af",laughing my fucking ass off you said this beach was nice it s dirty as fuck,negative
1905,"bruh, dat tour cost us hundreds n we got nothin outta it",brother that tour cost us hundreds and we got nothing out of it,negative
1906,wtf is dis bullshit? da wifi donâ€™t even work here,what the fuck is this bullshit the wifi doesn t even work here,negative
1907,"yo, if u say 1 more thing bout da â€˜viewâ€™ imma punch u",yo if you say one more thing about the view i m going to punch you,negative
1908,"lmfao, who tf needs 2 see more ruins? iâ€™m bored af",laughing my fucking ass off who the fuck needs to see more ruins i m bored as fuck,negative
1909,"bruh, dat hike was ass, we saw nothin but trees",brother that hike was ass we saw nothing but trees,negative
1910,"wtf, why da fuck u pick dis dead-ass town 2 visit?",what the fuck why the fuck did you pick this deadass town to visit,negative
1911,"yo, da whole placeâ€™s a tourist trap, iâ€™m fkn over it",yo the whole place is a tourist trap i m fucking over it,negative
1912,"yo, u got one job, how tf u mess up dis bad?",yo you had one job how the fuck did you mess this up so bad,negative
1913,"lmfao, dats da dumbest shit i seen dis quarter",laughing my fucking ass off that is the dumbest shit i have seen this quarter,negative
1914,"bruh, u da reason we ain't hittin targets, step tf up",brother you are the reason we are not hitting targets step the fuck up,negative
1915,wtf is ur excuse dis time? we losin money cuz of u,what the fuck is your excuse this time were losing money because of you,negative
1916,"yo, da client's pissed n it's ur fault again",yo the clients pissed and it is your fault again,negative
1917,"lmfao, how u manage 2 drop da ball every damn time?",laughing my fucking ass off how do you manage to drop the ball every damn time,negative
1918,"bruh, we rly gon lose da account if u keep messin up",brother we are really going to lose the account if you keep messing up,negative
1919,wtf u doin wit dis budget? we gon b bankrupt,what the fuck are you doing with this budget were going to be bankrupt,negative
1920,"yo, stop bs'n n get dat shit done b4 da review",yo stop bullshitting and get that shit done before the review,negative
1921,"lmfao, da boss gon chew u up 4 dis one",laughing my fucking ass off the boss is going to chew you up for this one,negative
1922,"bruh, u got no clue how 2 manage, dis team is a joke",brother you have no clue how to manage this team is a joke,negative
1923,"yo, dis is on u, we losin clients left n right",yo this is on you we are losing clients left and right,negative
1924,"wtf, u cant even finish a fkn task on time?",what the fuck you cannot even finish a fucking task on time,negative
1925,"lmfao, dis ur idea of leadership? gtfoh",laughing my fucking ass off this is your idea of leadership get the fuck out of here,negative
1926,"bruh, dats da 5th mistake dis week, u for real?",brother that is the fifth mistake this week are you for real,negative
1927,"yo, da whole dept's talkin bout ur bs, u a liability",yo the whole departments talking about your bullshit you are a liability,negative
1928,wtf u mean u didnt see da email? it's ur job 2 check!,what the fuck do you mean you didn t see the email it s your job to check,negative
1929,"lmfao, u gonna sink dis ship w ur incompetence",laughing my fucking ass off you are going to sink this ship with your incompetence,negative
