Text,Meaning,Sentiment
_jane yay! buti nagustuhan nyo. isang bar lang enclosed ko sa mail. to test if matutunaw or hindi. next time uli.,_jane yay! buti nagustuhan nyo. isang bar lang enclosed ko sa mail. to test if matutunaw or hindi. next time uli.,neutral
Memories,Memories,neutral
Yep. Nothing to worry about.,Yep. Nothing to worry about.,positive
back to work tomorrow whose idea was it to go back on a saturday?!? Oh wait... that would be mine. FAIL.,back to work tomorrow whose idea was it to go back on a saturday?!? Oh wait... that would be mine. FAIL.,negative
"Going to start very small, like $0.10 or $0.50 Then slowly to higher stakes","Going to start very small, like $0.10 or $0.50 Then slowly to higher stakes",neutral
Make a videoblog!,Make a videoblog!,neutral
reading Evermore by Lynn Viehl.,reading Evermore by Lynn Viehl.,neutral
Wow what a storm we just had!!! Now no power,Wow what a storm we just had!!! Now no power,positive
getting my phone back this week yeeeewww,getting my phone back this week yeeeewww,positive
back from school daily show was amazing gonna watch it again later i think xD,back from school daily show was amazing gonna watch it again later i think laugh out loud,positive
_breez Yer please do! Have a good day!,_breez Yer please do! Have a good day!,positive
#musicmonday Epic song. (Y) ? 'Lights and Sounds' by Yellowcard ~ http://tinyurl.com/db7ppm,#musicmonday Epic song. (Y) ? 'Lights and Sounds' by Yellowcard ~ http://tinyurl.com/db7ppm,neutral
hot cuppa coffee made with milk & fortified with Monin`s Irish Coffee syrup! Bliss!,hot cuppa coffee made with milk & fortified with Monin`s Irish Coffee syrup! Bliss!,positive
right im out of here peeps.. i hope fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days #fail,right i am out of here peeps.. i hope fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days #fail,positive
"My anticipated meet up with Tapan Parikh is no more apparently he wont pass by Nairobi, and will head straight from Mombasa","My anticipated meet up with Tapan Parikh is no more apparently he wont pass by Nairobi, and will head straight from Mombasa",neutral
watching Army Wives and it always makes me cry,watching Army Wives and it always makes me cry,negative
productive day 1,productive day 1,positive
Rest In Peace ADaM 12 & GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya,Rest In Peace ADaM 12 & GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in the air 4 years,neutral
gotta love the summer,gotta love the summer,positive
Marking going ok so far A`s and B`s so far - relieved it looks like I have future programmers in class,Marking going ok so far A`s and B`s so far - relieved it looks like I have future programmers in class,neutral
"alas no, it`s just a normal night monday is quiz night","alas no, it`s just a normal night monday is quiz night",neutral
Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming,Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming,neutral
_buckley Good morning from sunny London...sounds like an oxymoron but happens to be true of today Hurrah!,_buckley Good morning from sunny London...sounds like an oxymoron but happens to be true of today Hurrah!,positive
Cool. That`d be fantastic!,Cool. That`d be fantastic!,positive
live on stickam.com/itstyleryo COME CHAT!,live on stickam.com/itstyleryo COME CHAT!,neutral
But is right: This is like the Cape Breton coal mines but ++. No lessons learned.,But is right: This is like the Cape Breton coal mines but ++. No lessons learned.,neutral
"Yes, but I`m quite rusty. I`m hoping to get back to it and 'tune up' my skills. Tim plays guitar. We threaten duets.","Yes, but I`m quite rusty. I`m hoping to get back to it and 'tune up' my skills. Tim plays guitar. We threaten duets.",negative
Hey everybody! hah this day is cool! just got back from walk with the dog... OMGosh! Send me the link again please!,Hey everybody! hah this day is cool! just got back from walk with the dog... OMGosh! Send me the link again please!,positive
srry im not so interesting right now... stayed up til 6am cause my tummy hurt and now im pooped and have to work,srry im not so interesting right now... stayed up till 6am cause my tummy hurt and now im pooped and have to work,negative
me because I might not have enough money for college!!!,me because I might not have enough money for college!!!,negative
lol! woow okay its not that big of a deal,laugh out loud! woow okay its not that big of a deal,neutral
I love how when I leave my laptop on my bed it creates a nice toasty spot,I love how when I leave my laptop on my bed it creates a nice toasty spot,positive
I mean someone hit a dog with a car. It was just laying there,I mean someone hit a dog with a car. It was just laying there,neutral
Does it start tomorrow? I was going to book Sam on that and forgot,Does it start tomorrow? I was going to book Sam on that and forgot,negative
"salt and vinegar, cheese and onion make your breathe smell lol ****","salt and vinegar, cheese and onion make your breathe smell laugh out loud",negative
You`re welcome. There! I added you already!,You`re welcome. There! I added you already!,positive
"_rose Mornin` ! Missed dance time, so I guess I will have to dance extra hard tomorrow...","_rose Mornin` ! Missed dance time, so I guess I will have to dance extra hard tomorrow...",neutral
"Sorry to hear about your dude probs, what is it that`s too much?","Sorry to hear about your dude probs, what is it that`s too much?",negative
Discovered that Numpy arrays can hold values of any type. Useful for manipulating arrays of numbers with uncertainties.,Discovered that Numpy arrays can hold values of any type. Useful for manipulating arrays of numbers with uncertainties.,negative
"maybe i should take up drinking again, feel as if i have a ,massive hangover still not ,yself today","maybe i should take up drinking again, feel as if i have a ,massive hangover still not ,yself today",negative
just downloaded the tweet deck....look at my and my saviness,just downloaded the tweet deck....look at my and my saviness,neutral
TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.,TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.,positive
whatever i know you like it. HAHAHHAH!,whatever i know you like it. HAHAHHAH!,positive
oh no! my fun weekend with friends is gone! my mother has made a family weekend of it! ****,oh no! my fun weekend with friends is gone! my mother has made a family weekend of it! ****,negative
Good morning twitterland. Happy Monday,Good morning twitterland. Happy Monday,positive
Writing reports....,Writing reports....,neutral
thanks timmy. turns out he has strep and a high fever.,thanks timmy. turns out he has strep and a high fever.,positive
"oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days","oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days",positive
keeping it chilled.,keeping it chilled.,positive
what a beautiful day not to got to my first class,what a beautiful day not to got to my first class,positive
Fabulous. And I didn`t get that pic Gmail be acting the fool sometimes. Can u DM me it?,Fabulous. And I didn`t get that pic Gmail be acting the fool sometimes. Can u direct message me it?,positive
"yeah, it`s terrible cockatoos are the hardest to live with, so emotional. good thing he found you, though!!","yeah, it`s terrible cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",neutral
_ that sucks!,_ that sucks!,negative
yes it does,yes it does,positive
_datti Thanks sankar for ur wishes,_datti Thanks sankar for ur wishes,positive
"I love waking up and thinking it`s a weekday, but then realizing it`s the weekend.","I love waking up and thinking it`s a weekday, but then realizing it`s the weekend.",positive
"sorry bout the cat,","sorry bout the cat,",negative
You`re the only person to have joined in #penilewords,You`re the only person to have joined in #penilewords,neutral
Up and washed I`m clothing myself as I type xD WOOOO,Up and washed I`m clothing myself as I type laugh out loud WOOOO,positive
miss u too. I`m still at a club...u know...west coast ****!,miss u too. I`m still at a club...u know...west coast ****!,negative
love love love pot psycology. My Friday night treat,love love love pot psycology. My Friday night treat,positive
Happy Star Wars Day May the fourth be with you!,Happy Star Wars Day May the fourth be with you!,positive
Playing with lighters fire matches and grass,Playing with lighters fire matches and grass,neutral
_art That would be the one. It`s awesome sauce.,_art That would be the one. It`s awesome sauce.,positive
"Bucky, my ferret officially has insulinoma Now on daily prednisone. Had interview with p-doc today, have to go back monday for testing.","Bucky, my ferret officially has insulinoma Now on daily prednisone. Had interview with p-doc today, have to go back monday for testing.",neutral
"I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit","I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit",positive
coffee time,coffee time,neutral
"He was creepy for me at first, but I did really grow to like him. I cried like a baby when he and Tosh died.","He was creepy for me at first, but I did really grow to like him. I cried like a baby when he and Tosh died.",neutral
"_ really!? that son of a ****, screw him, ill talk to on msn later k xox","_ really!? that son of a ****, screw him, ill talk to on messenger later k hugs and kisses.",negative
"We didn`t...but we did have to wait a good twenty minutes for one. Good night, though!","We didn`t...but we did have to wait a good twenty minutes for one. Good night, though!",positive
I always hope they will die out but then i see the the old ones and it makes me sad,I always hope they will die out but then i see the the old ones and it makes me sad,negative
"thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves","thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves",neutral
don`t follow me. You will ruin my twitter experience,don`t follow me. You will ruin my twitter experience,negative
Blah to car repairs... almost 600 dollars... Shopping around for a better deal.,Blah to car repairs... almost 600 dollars... Shopping around for a better deal.,negative
Weetabix and Choco milk Yum!,Weetabix and Choco milk Yum!,positive
me too!,me too!,neutral
I`m sad to have lost another person close to me to cancer,I`m sad to have lost another person close to me to cancer,negative
_me Thanks! Kinda bittersweet though,_me Thanks! Kinda bittersweet though,neutral
_Nutbar Good morning how are you? #TwitterTakeover,_Nutbar Good morning how are you? #TwitterTakeover,positive
First time to Twitter..,First time to Twitter..,neutral
Captain Jack is back,Captain Jack is back,neutral
"_la ben`s dreams make me so saddddddd i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..","_la ben`s dreams make me so saddddddd i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..",negative
"Internet, you were so fast! And now you are so slow! Where did the fast connection go?","Internet, you were so fast! And now you are so slow! Where did the fast connection go?",neutral
6 am. you?,6 am. you?,neutral
30 year old Barbie dolls still can rock it...that girl was H-O-T! and Ken ain`t so bad either! now those are memories!,30 year old Barbie dolls still can rock it...that girl was HOT! and Ken ain`t so bad either! now those are memories!,negative
this weather makes my fingers numb / still waiting,this weather makes my fingers numb / still waiting,negative
LOL yeah ima mama thanks. happy mama`s day and lakers day! i love it!,laugh out loud yeah ima mama thanks. happy mama`s day and lakers day! i love it!,positive
DONE--IT`S SUMMER!!!,DONE--IT`S SUMMER!!!,neutral
I was just at Geno`s 3hrs ago. Would have went to Pats but the Neon Lights got me lol. Had drinks at South Philly Bar too,I was just at Geno`s 3hrs ago. Would have went to Pats but the Neon Lights got me lol. Had drinks at South Philly Bar too,neutral
http://yfrog.com/0xoxij Fry bread is good but they only gave me a little pinch of lettuce ha ha,http://yfrog.com/0xoxij Fry bread is good but they only gave me a little pinch of lettuce ha ha,positive
Its WoW! effect Thanks for the update.,Its WoW! effect Thanks for the update.,positive
"got up at 8 today, and also misses his friend","got up at 8 today, and also misses his friend",negative
catching up on my reading... twitter n BF break,catching up on my reading... twitter and boy friend break,neutral
"No, that`s not right - I remember now. You were in a fearless tweet - we were both seen as fearless.","No, that`s not right - I remember now. You were in a fearless tweet - we were both seen as fearless.",neutral
my thoughts dwell on a certain person,my thoughts dwell on a certain person,neutral
Transition time is over; tonight I work night shift. I woke up at 1330.,Transition time is over; tonight I work night shift. I woke up at 1330.,neutral
Gonna go to work with my honey today!!!! So exciting!!!,Gonna go to work with my honey today!!!! So exciting!!!,positive
_ aww thats too bad you lost it though,_ aww thats too bad you lost it though,negative
this my new more private acc. Will only use it for close twitter friends,this my new more private acc. Will only use it for close twitter friends,neutral
I hate going online and looking at the balance in the bank. its always a lot lower than I need it to be.,I hate going online and looking at the balance in the bank. its always a lot lower than I need it to be.,negative
"actually, the web works fine. tweetdeck seems to be the culprit sadness! it`s done this at two diff. locations","actually, the web works fine. tweetdeck seems to be the culprit sadness! it`s done this at two different locations",neutral
_x How did your Geo ISU go? I swear I just had the worse day ever..,_x How did your Geo  Information Support Unit.  go? I swear I just had the worse day ever..,negative
"And you could have it all, my empire of dirt! I`m in a&e with dad I`m freezing fully shivering Every1 else is warm no fones allowed ffs!","And you could have it all, my empire of dirt! I`m in accident and emergency with dad I`m freezing fully shivering Every1 else is warm no fones allowed ffs!",negative
tell me what you think of Pride Prejudice and Zombies . . . if you`re not all hyped up on sugar,tell me what you think of Pride Prejudice and Zombies . . . if you`re not all hyped up on sugar,neutral
"_tdh Can you install ruby, gems and rails on keep? Please?","_tdh Can you install ruby, gems and rails on keep? Please?",neutral
Out for ultimate training. looking forward to the sunset!,Out for ultimate training. looking forward to the sunset!,positive
going to work once again. what a great few days off i had. now it`s over but atleast i get 2 more commin up wahooooooo,going to work once again. what a great few days off i had. now it`s over but atleast i get to more commin up wahooooooo,positive
Good to see you back. Sorry that happened to you,Good to see you back. Sorry that happened to you,neutral
My 1st Mothers Day Tomorrow,My 1st Mothers Day Tomorrow,neutral
"'you said 'darling what happened? did I fall asleep, and you carry me home? Cuz I know I wasn`t here'' Goodnight twitterererers","you said 'darling what happened? did I fall asleep, and you carry me home? becuase I know I wasn`t here'' Goodnight twitterererers",positive
"I just about clear my whole office and no sign of it next place is truck, I have yet to fully clean under back seat lol!","I just about clear my whole office and no sign of it next place is truck, I have yet to fully clean under back seat laugh out loud!",neutral
It`s not gonna storm! because I said so!,It`s not gonna storm! because I said so!,neutral
I broke my ipod,I broke my ipod,negative
_banks 'Something must be wrong. Only found 17 July Harl/Sil books I wanted,_banks 'Something must be wrong. Only found 17 July Harl/Sil books I wanted,negative
Haha and you should! State pride is important,Haha and you should! State pride is important,positive
"Ugh, did you just say your friend might have swine flu? OMG, why?","Ugh, did you just say your friend might have swine flu? Oh My God, why?",negative
"haha no problem, it`s fun isn`****","haha no problem, it`s fun isn`****",positive
"Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort.","Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort.",positive
finally feel back into swing of things here at work after getting married last week! sigh of relief for no more wedding planning!,finally feel back into swing of things here at work after getting married last week! sigh of relief for no more wedding planning!,positive
that sucks booo.,that sucks booo.,negative
Hates untalented **** being mean to my talented friends,Hates untalented **** being mean to my talented friends,neutral
looks like we`re rained out for weekend climbing,looks like we`re rained out for weekend climbing,negative
Is Google Maps not working for anyone else?,Is Google Maps not working for anyone else?,neutral
oh ****!!,oh ****!!,negative
i dont really trust the judgements and vouches of _xo jk. i`ll think about becoming a friend of yours,i dont really trust the judgements and vouches of _hugs and kisses jk. i`ll think about becoming a friend of yours,negative
Jesus heals,Jesus heals,positive
It`s surprising how much Billy Idol turns up in tweets. I monitor constantly - not that I`m obsessed or anything! #BillyIdol,It`s surprising how much Billy Idol turns up in tweets. I monitor constantly - not that I`m obsessed or anything! #BillyIdol,neutral
werd. that`s very true,werd. that`s very true,neutral
Your birthday? WELL Happy birthday,Your birthday? WELL Happy birthday,positive
Without wings again,Without wings again,neutral
did you tweet me? i thought i remembered seeing one but i cant see it now! SO glad teatree is ok!,did you tweet me? i thought i remembered seeing one but i cant see it now! SO glad teatree is ok!,positive
Night twitterland x I have to be up in five hours sigh,Night twitterland x I have to be up in five hours sigh,neutral
Happy birthday in 2 hours and 54 minuets Haha,Happy birthday in 2 hours and 54 minuets Haha,positive
"lunch break`s over, going back to work....","lunch break`s over, going back to work....",neutral
Glad to see it`s a typical Bank Holiday weather wise - I was going to do so much today - yeah right!,Glad to see it`s a typical Bank Holiday weather wise - I was going to do so much today - yeah right!,positive
Hayley Williams is pretty much amazzing,Hayley Williams is pretty much amazzing,positive
the app said i need 12.1.5 or later,the app said i need 12.1.5 or later,neutral
--Nothing,--Nothing,neutral
is in PHP website upgrade hell on a Bank Holiday. How`s that for planning!,is in PHP website upgrade hell on a Bank Holiday. How`s that for planning!,neutral
not really having a good night... missing my little girl...,not really having a good night... missing my little girl...,negative
miss you captain,miss you captain,negative
Im sending this to my mother! http://bit.ly/1aa1RF,Im sending this to my mother! http://bit.ly/1aa1RF,neutral
"OI, are you mocking the fact I dont cry at tv things?! *Feels bad*xxx","OI, are you mocking the fact I dont cry at tv things?! *Feels bad*xxx",negative
i am public and can`t get anyone to follow me,i am public and can`t get anyone to follow me,neutral
"Until brings back our EVERYONE button, access PT @ http://twitter.com/public_timeline or link in bottom of Settings.","Until brings back our EVERYONE button, access PT @ http://twitter.com/public_timeline or link in bottom of Settings.",neutral
Boring? Who you been talking to? Lol not me ( no ****),Boring? Who you been talking to? Lol not me ( no ****),neutral
"I know, right? I guess the oldest doesn`t hold rank on field trips anymore.","I know, right? I guess the oldest doesn`t hold rank on field trips anymore.",neutral
"just signed up..so, hello twitter world, here I am","just signed up..so, hello twitter world, here I am",neutral
I won`t be getting any ROTF toys `till MUCH later. Tell me if anybody isn`t/is worth getting.,I won`t be getting any ROTF toys `till MUCH later. Tell me if anybody isn`t/is worth getting.,neutral
heading over to xbox will go shopping 2morrow,heading over to xbox will go shopping tomorrow,neutral
I saw that you were calling but cannot answer as I`m in the second hour of a phone convo with my mom and she won`t stop talking,I saw that you were calling but cannot answer as I`m in the second hour of a phone convo with my mom and she won`t stop talking,neutral
is excited! http://plurk.com/p/stk04,is excited! http://plurk.com/p/stk04,positive
hmmm really??? that`s weird idk about that one sowwy,hmmm really??? that`s weird idk about that one sowwy,negative
oh that looks boring and even more boring you have an exam on a saturday,oh that looks boring and even more boring you have an exam on a saturday,negative
Practice was a beast today. Not going to see Julian tonight,Practice was a beast today. Not going to see Julian tonight,neutral
"Getting somewhere with my first 'real' KiokuDB and catalyst app, yay","Getting somewhere with my first 'real' KiokuDB and catalyst app, yay",neutral
Thanks though - am trying to be positive!! Wine may not be helping lol!! Wish I could make the gigs.....,Thanks though - am trying to be positive!! Wine may not be helping lol!! Wish I could make the gigs.....,positive
i think my niece got me sickee lame.,i think my niece got me sickee lame.,negative
Rise and shine Time to get prettifide.,Rise and shine Time to get prettifide.,positive
"I tried sooooo hard to work from home today, but failed Not my fault though.","I tried sooooo hard to work from home today, but failed Not my fault though.",negative
Gosh I`ve a stinky old headache. Maybe I should have lunchfast,Gosh I`ve a stinky old headache. Maybe I should have lunchfast,negative
Glenna is bored but glad that it is a beautiful day. Macy went swimming and Kris played golf while I sat at home waiting for them,Glenna is bored but glad that it is a beautiful day. Macy went swimming and Kris played golf while I sat at home waiting for them,neutral
bout 2 have 1 more drink then imma head in da house,about to have 1 more drink then I'm head in the house,neutral
"i get so sucked in to true life, and that steve-o documentary was intense, i love that ****, it`s nice to see people get their lives back","i get so sucked in to true life, and that steve-o documentary was intense, i love that shit, it`s nice to see people get their lives back",neutral
I love my life Ni night twitter!<3,I love my life good night twitter! hearts!,positive
We knew what what you meant!,We knew what what you meant!,neutral
Succesfully following Tayla!!,Succesfully following Tayla!!,positive
my new phrase is `you never doubt mo williams` six game win streak!,my new phrase is `you never doubt mo williams` six game win streak!,neutral
Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,positive
4th... Please not! Maybe she`ll get 3 attempts and win tomorrow!!,4th... Please not! Maybe she`ll get 3 attempts and win tomorrow!!,neutral
trying to learn to tweet!! it`s all good I hope..,trying to learn to tweet!! it`s all good I hope..,positive
"Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.","Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.",negative
"Great, social network sites are still growing","Great, social network sites are still growing",positive
If I got paid by the hour I could retire by now do you have xBox live? I am thinking Rock Band,If I got paid by the hour I could retire by now do you have xBox live? I am thinking Rock Band,neutral
"I should learn not to walk all day, and then sprint through sprinklers without stretching.","I should learn not to walk all day, and then sprint through sprinklers without stretching.",neutral
So...I was half asleep when I wrote the previous message. Greatest friends !!haha You are!!,So...I was half asleep when I wrote the previous message. Greatest friends !!*haha* [laughing] You are!!,positive
I`m still trying to see Star Trek! I`ll just have to Woman up and go alone. BF is pretty much worthless anyway lol,I`m still trying to see Star Trek! I`ll just have to Woman up and go alone. BF is pretty much worthless anyway *lol* [laughed out loud],neutral
"Laws change in the 70s or 80s. I could really push it bcause gran from Bathgate, but she was US citizen b4 dad born.","Laws change in the 70s or 80s. I could really push it because grandmother from Bathgate, but she was US citizen before dad born.",neutral
some of my new followers are pretty cool tweeps; check `em out.,some of my new followers are pretty cool tweeps; check them out.,positive
"no work today! went shopping, and now relaxing &learning for the toefl","no work today! went shopping, and now relaxing &learning for the toefl",positive
Is off to watch arsenal v chelsea today,Is off to watch arsenal versus chelsea today,neutral
He`s getting ear tubes in about an hour so no food,He`s getting ear tubes in about an hour so no food,neutral
yay asap lol awwh I miss our friday night happy hours even luna del sea and the 'boy' hahahaha,"*yay* as soon as possible *lol* [laugh out loud] *awwh* [amuzed], I miss our friday night happy hours even Luna del sea and the 'boy' *hahahaha* [laughing]",negative
left the bases loaded...,left the bases loaded...,neutral
Cowboy westerns...haven`t seen those in a while. good luck,Cowboy westerns...haven`t seen those in a while. good luck,positive
It`s already over? ****!,It`s already over?  shit,negative
I was trying to back all her documents up but it wasn`t playing along. its taking forever but am back at it again now,I was trying to back all her documents up but it wasn`t playing along. it's taking forever but am back at it again now,neutral
Doing some test shooting later this afternoon. Did I mention being in Holland for an indie wine festival this week? My tongue is red.,Doing some test shooting later this afternoon. Did I mention being in Holland for an indie wine festival this week? My tongue is red.,neutral
My dad knows i got drunk today. And i didnt get in trouble.,My dad knows I got drunk today. And i didn't get in trouble.,positive
"so i`ll excuse your love for the Cavs and the west, even though I don`t share it!","so i`ll excuse your love for the Caves and the west, even though I don`t share it!",neutral
"Lol - I could try! Seriously tho, dont do all of it! That sucks! ****","Laugh out loud - I could try! Seriously though, don't do all of it! That sucks! What The Fuck",negative
**** i wanna see the rest!! i only saw like 30 minutes,"Shit, I wanna see the rest!! I only saw like 30 minutes",negative
Happy mothers day mom!!! i love you.,Happy mothers day mom!!! i love you.,positive
"burning cd`s,,,,,,,,, **** outa blank disc`s","burning cd`s,,,,,,,,, shit out of a blank disc`s",positive
"new album is truly genius, so happy with it","new album is truly genius, so happy with it",positive
you`re alive!!!!!! Go w/ The Notebook...it`ll make you cry and stuff,you`re alive!!!!!! Go with the Notebook...it`ll make you cry and stuff,negative
Okaii Cool! I Can`t Wait For The Series To Begin It`s Guna Be Awesome x,Okay Cool! I Can`t Wait For The Series To Begin It`s Guna Be Awesome x,positive
crying to A Walk To Remember as usual,crying to A Walk To Remember as usual,negative
i only hav 8 followers !,I only have 8 followers !,neutral
happy star wars day everyone off to celebrate with the family... ok we`re not celebrating it but i am going round to the famo`s...,happy star wars day everyone off to celebrate with the family... ok we`re not celebrating it but i am going round to the famo`s...,positive
,,positive
IT`S MOTHER`S DAY,IT`S MOTHER`S DAY,neutral
Yay for birthdays sadly my voice is almost gone :/ but it was a pretty good night!,Yay for birthdays sadly my voice is almost gone :/ but it was a pretty good night!,neutral
"we finally hit 1,000 friends! thanks!","we finally hit 1,000 friends! thanks!",positive
I`m part of a religion called People-With-Good-Taste-In-Music. We don`t celebrate Jonas Brothers Day.,I`m part of a religion called People-With-Good-Taste-In-Music. We don`t celebrate Jonas Brothers Day.,neutral
I`m at work....bored out of my mind.,I`m at work....bored out of my mind.,negative
watching the notebook,watching the notebook,neutral
Yes because those taxes disguise the booking fees and commissions that online travel portals charge. Try iXiGO.com next time,Yes because those taxes disguise the booking fees and commissions that online travel portals charge. Try iXiGO.com next time,neutral
"twitters gettin a lil bit confusin... twitterific?twitdroid?twitterberry? i understant the txt bit tho lol ah well, twitters cool anyways","twitters getting a little bit confusion... twitterific?twitdroid?twitterberry? i understant the text bit tho *lol* [laughed out loud] ah well, twitters cool anyways",neutral
Finally sleep time,Finally sleep time,neutral
http://twitpic.com/4l85a - best kind of gum ever! I just bought a pack,http://twitpic.com/4l85a - best kind of gum ever! I just bought a pack,positive
The Heater blew up,The Heater blew up,negative
i tried. and failed,i tried. and failed,negative
"just finished mine, some parts were remarkably difficult cramming kanji now!","just finished mine, some parts were remarkably difficult cramming kanji now!",negative
why is everyones tweets about britains got talent?! i feel left out,why is everyones tweets about britains got talent?! i feel left out,negative
yay mothers day i love mi madre,yay mothers day i love mi madre,positive
They wouldn`t reverse any of my overdraft fees.,They wouldn`t reverse any of my overdraft fees.,negative
_N9ne I`m not having a good day,_No I`m not having a good day,negative
i miss the Soulja Boy dance...,i miss the Soulja Boy dance...,negative
"I woke up an came to the realization that I can put it off as much as I want, but I need 2 drop some friends. Dammit!","I woke up an came to the realization that I can put it off as much as I want, but I need to drop some friends. Dammit!",negative
11 Days left until freedom. I really just want to get through this weekend. I hate essays.,11 Days left until freedom. I really just want to get through this weekend. I hate essays.,negative
lol you guys are awesome,*lol* [laughed out loud] you guys are awesome,positive
"Home, good night world","Home, good night world",positive
"http://twitpic.com/4vtlm - awww, she is really cute","http://twitpic.com/4vtlm - awww, she is really cute",positive
got alot of runnin around to do today to get this job app completed so they can have it on file... so glad i got this job!!,got a lot of running around to do today to get this job app completed so they can have it on file... so glad i got this job!!,positive
lappy charger is completely dead... conserving what`s left of the battery until i can afford to buy a new one,lappy charger is completely dead... conserving what`s left of the battery until i can afford to buy a new one,negative
"well, i must say she is very lucky to have you! i guess that means no chillin and concert with me huh","well, i must say she is very lucky to have you! i guess that means no chillin and concert with me huh",neutral
Happy Mother`s Day all of the mom`s around the world! I love mine more than anything in the world and can`t wait to celebrate! WOO!,Happy Mother`s Day all of the mom`s around the world! I love mine more than anything in the world and can`t wait to celebrate! WOO!,positive
I put a real pic of myself up. I`m going to miss the avatar.,I put a real pic of myself up. I`m going to miss the avatar.,negative
doing my folio work but keep on getting distracted by deb pics,doing my folio work but keep on getting distracted by deb pictures,negative
sad that borders did not have guerrilla gardening book but otherwise a most lovely relaxing day,sad that borders did not have guerrilla gardening book but otherwise a most lovely relaxing day,neutral
I can`t sleep. I can`t find my grandmother`s quilt or locket. I`m sick at myself cause I may have lost them somehow. Or they were stolen,I can`t sleep. I can`t find my grandmother`s quilt or locket. I`m sick at myself cause I may have lost them somehow. Or they were stolen,negative
Had to take my bad **** dog to the pet hotel....so sad,Had to take my bad **** dog to the pet hotel....so sad,negative
about to hit the sheets.,about to hit the sheets.,neutral
"I wish i had my iPod , i need some jonas . I miss their sexy voices JB forever !","I wish i had my iPod , i need some jonas . I miss their sexy voices Juke Box forever !",neutral
watching Gilmore Girls reruns!! Don`t know what else to do for the day,watching Gilmore Girls reruns!! Don`t know what else to do for the day,neutral
"Wow, its hot and miserable. People are probably killing themselves right about now...","Wow, its hot and miserable. People are probably killing themselves right about now...",negative
Thanks mama ! I absolutely adore her,Thanks mom ! I absolutely adore her,positive
"ohh snapp, have fun","ohh snapp, have fun",neutral
Sitting waiting for an exam to start,Sitting waiting for an exam to start,neutral
I don`t think I`ve ever tried peanut butter on toast,I don`t think I`ve ever tried peanut butter on toast,neutral
"i would but he`s premiering avatar footage and can`t do it then. also, we better hang out.","i would but he`s premiering avatar footage and can`t do it then. also, we better hang out.",positive
Home from Chelsea`s Jam sessions = <3 = Chelsea + Abby = I luh you.,Home from Chelsea`s Jam sessions = *<3* [heart emoji] = Chelsea + Abby = I love you.,positive
we`ll be visiting my grandparents later. BTW i just heard katy perry`s HOOK UP whew so cool i love it more than k.clarkson`s version,we`ll be visiting my grandparents later. BTW i just heard katy perry`s HOOK UP whew so cool i love it more than k.clarkson`s version,positive
"very sweet!!! HAHA. I am like super proud to be a new mom!!! I feel like, i got the PERFECT daughter. And i am a GREAT mom!!!","very sweet!!! *HAHA*. I am like super proud to be a new mom!!! I feel like, i got the PERFECT daughter. And i am a GREAT mom!!!",positive
gosh im bored. its early..n i wanna go..to sleeeepp why am i at work? *kay<3*,gosh im bored. its early and i wanna go..to sleep why am i at work? Okay love you.,negative
I`m sure she`ll be fine. They`re not as daft as they look (sometime),I`m sure she`ll be fine. They`re not as daft as they look (sometime),neutral
HA! I`d give Kristen plenty of free hugs! *sigh* if only I could,HA! I`d give Kristen plenty of free hugs! let out a deep breath if only I could,neutral
"And, yes. I <3 mac, if only it weren`t so expensive","And, yes. I love mac, if only it weren`t so expensive",neutral
I hate cottage cheese. I even got some fancy stuff last weekend with lemon and berries...I could only eat half of it.,I hate cottage cheese. I even got some fancy stuff last weekend with lemon and berries...I could only eat half of it.,negative
link isn`t working,link isn`t working,neutral
I just need to go to the bank,I just need to go to the bank,neutral
"you should come to Estonia, I know some epic horses here, hehe, and a good trainer and good beaches were to ride!","you should come to Estonia, I know some epic horses here, hehe, and a good trainer and good beaches were to ride!",positive
